Stock,SVM_Bearish_Probability,SVM_Bullish_Probability,RF_Bearish_Probability,RF_Bullish_Probability,BERT_Bearish_Probability,BERT_Bullish_Probability,bearish_probability,bullish_probability
ADANIENT,0.054299882747153166,0.9457001172528471,0.72,0.28,0.00012146539,0.9998785,0.25814044937884567,0.741859547662265
ADANIPORTS,0.561334370964905,0.43866562903509493,0.96,0.04,0.9949407,0.0050592897,0.838758356370575,0.16124163959369378
APOLLOHOSP,0.9282055107610333,0.07179448923896666,1.0,0.0,0.6555948,0.34440508,0.8612667788352207,0.13873319136245685
ASIANPAINT,0.4175392101205805,0.5824607898794196,1.0,0.0,0.002390638,0.9976094,0.47330994937146437,0.5266900555955895
AXISBANK,0.9426764087322616,0.05732359126773841,0.99,0.01,0.9659498,0.034050297,0.9662087275069046,0.03379129608660064
BAJAJ-AUTO,0.6976752001376508,0.30232479986234934,0.9,0.1,0.9083086,0.09169139,0.8353279417863012,0.1646720631807527
BAJAJFINSV,0.09452616053399011,0.9054738394660098,1.0,0.0,7.453497e-09,1.0,0.3648420559958292,0.63515794648867
BAJFINANCE,0.758641716160864,0.24135828383913593,0.98,0.02,1.6896486e-08,1.0,0.57954724435245,0.420452761279712
BEL,5.638839789070144e-07,0.9999994361160212,1.0,0.0,0.5489909,0.45100915,0.5163304897229535,0.48366953014526143
BHARTIARTL,0.6201114001184035,0.3798885998815966,0.93,0.07,0.64271045,0.35728958,0.730940615809935,0.26905939412417257
CIPLA,0.7814038477922983,0.2185961522077019,0.0,1.0,0.038231403,0.96176857,0.2732117501426242,0.7267882399232684
COALINDIA,0.4284082812406831,0.5715917187593167,0.81,0.19,0.511556,0.48844403,0.5833214368534821,0.41667858301473276
DRREDDY,0.5718059499409006,0.4281940500590994,0.25,0.75,0.85283077,0.14716922,0.5582122391908104,0.44178775584213587
EICHERMOT,0.2951668233776366,0.7048331766223634,0.98,0.02,0.000490235,0.99950975,0.42521901945592505,0.5747809761396953
GRASIM,0.637623496887549,0.3623765031124509,1.0,0.0,0.37765825,0.6223418,0.6717605816117472,0.32823943825646756
HCLTECH,0.12786964760785013,0.8721303523921499,0.93,0.07,0.666888,0.333112,0.5749192153962609,0.42508078460373905
HDFCBANK,0.1390779905987789,0.8609220094012211,1.0,0.0,0.666888,0.333112,0.6019886630599038,0.39801133694009616
HDFCLIFE,0.26143162979588985,0.7385683702041103,1.0,0.0,0.8137444,0.18625557,0.6917253518565035,0.30827464814349653
HEROMOTOCO,0.07809155756675919,0.9219084424332409,1.0,0.0,0.001045717,0.9989543,0.35971242486987665,0.6402875795151005
HINDALCO,0.443736590591399,0.5562634094086011,0.18,0.82,0.856248,0.143752,0.4933282039057308,0.5066718010613229
HINDUNILVR,0.13556492446097418,0.8644350755390258,1.0,0.0,0.15721758,0.8427824,0.43092750052025813,0.5690724845785807
ICICIBANK,0.891865748110452,0.10813425188954802,1.0,0.0,0.7034884,0.2965116,0.8651180525432158,0.13488194745678414
INDUSINDBK,0.9382022236617501,0.06179777633824992,0.42,0.58,0.9204466,0.07955348,0.7595495994499025,0.24045041793478542
INFY,0.5365476087382816,0.4634523912617187,0.27,0.73,0.0654018,0.9345982,0.2906498029050358,0.7093501995784912
